File,loc,cyclomatic_Complexity,number_of_Changes,number_of_past_faults,number_of_developers,change_burst,change_entropy,structural_scattering,semantic_scattering,is_buggy
ClusterTest.java,47,6,1,0,1,1,0.038461538461538464,743.5,222.60097745576812,0
HadoopClusterExample.java,137,16,1,0,1,1,0.038461538461538464,743.5,222.60097745576812,0
DestroyInstanceCommand.java,53,7,2,1,1,2,0.07692307692307693,743.5,222.60097745576812,1
RunScriptCommand.java,132,18,3,0,1,2,0.11538461538461539,743.5,222.60097745576812,1
DestroyInstanceCommandTest.java,66,3,1,2,1,1,0.038461538461538464,743.5,222.60097745576812,0
RunScriptCommandTest.java,118,6,1,1,1,1,0.038461538461538464,743.5,222.60097745576812,0
Main.java,68,11,1,0,1,1,0.038461538461538464,743.5,222.60097745576812,1
DestroyClusterCommand.java,43,6,1,1,1,1,0.038461538461538464,743.5,222.60097745576812,1
LaunchClusterCommand.java,47,6,1,1,1,1,0.038461538461538464,743.5,222.60097745576812,1
ListClusterCommand.java,63,8,1,1,1,1,0.038461538461538464,743.5,222.60097745576812,1
