File,loc,cyclomatic_Complexity,number_of_Changes,number_of_past_faults,number_of_developers,change_burst,change_entropy,structural_scattering,semantic_scattering,is_buggy
PolicyRefresher.java,215,57,2,0,1,1,0.011235955056179775,344.76190476190476,82.34400093744415,1
RangerRESTClient.java,284,54,1,0,1,1,0.0056179775280898875,344.76190476190476,82.34400093744415,1
HBaseConnectionMgr.java,93,18,1,0,1,1,0.0056179775280898875,344.76190476190476,82.34400093744415,1
HBaseResourceMgr.java,115,25,1,1,1,1,0.0056179775280898875,344.76190476190476,82.34400093744415,1
HdfsConnectionMgr.java,68,9,1,0,1,1,0.0056179775280898875,344.76190476190476,82.34400093744415,1
HdfsResourceMgr.java,94,21,1,0,1,1,0.0056179775280898875,344.76190476190476,82.34400093744415,1
KnoxResourceMgr.java,76,19,3,1,1,1,0.016853932584269662,344.76190476190476,82.34400093744415,1
KMSResourceMgr.java,56,11,1,0,1,1,0.0056179775280898875,344.76190476190476,82.34400093744415,1
YarnResourceMgr.java,60,12,1,0,1,1,0.0056179775280898875,344.76190476190476,82.34400093744415,1
StormResourceMgr.java,63,12,1,1,1,1,0.0056179775280898875,344.76190476190476,82.34400093744415,1
