File,loc,cyclomatic_Complexity,number_of_Changes,number_of_past_faults,number_of_developers,change_burst,change_entropy,structural_scattering,semantic_scattering,is_buggy
TestHiveImport.java,521,52,3,0,2,1,0.2727272727272727,168.0188383045526,588.8383810797811,1
TestTableDefWriter.java,92,14,3,0,2,1,0.2727272727272727,168.0188383045526,588.8383810797811,1
TestCodecMap.java,53,6,1,0,1,1,0.09090909090909091,75.6923076923077,108.22135122533358,1
TestLobFile.java,362,36,1,0,1,1,0.09090909090909091,75.6923076923077,108.22135122533358,1
TestHCatalogBasic.java,354,25,1,0,1,1,0.09090909090909091,75.6923076923077,108.22135122533358,1
TestTextSplitter.java,125,18,1,0,1,1,0.09090909090909091,75.6923076923077,108.22135122533358,1
TestAvroExport.java,387,37,1,0,1,1,0.09090909090909091,92.3265306122449,480.6170298544476,0
TestConnFactory.java,115,22,1,0,1,1,0.09090909090909091,92.3265306122449,480.6170298544476,0
TestExportUpdate.java,460,53,1,0,1,1,0.09090909090909091,92.3265306122449,480.6170298544476,0
TestParquetExport.java,327,34,1,0,1,1,0.09090909090909091,92.3265306122449,480.6170298544476,0
TestSqoopOptions.java,618,78,2,0,2,1,0.18181818181818182,168.0188383045526,588.8383810797811,0
TestTargetDir.java,90,9,1,0,1,1,0.09090909090909091,92.3265306122449,480.6170298544476,0
TestExportUsingProcedure.java,288,35,2,0,1,1,0.18181818181818182,92.3265306122449,480.6170298544476,0
PostgresqlExportTest.java,391,35,1,0,1,1,0.09090909090909091,75.6923076923077,108.22135122533358,1
PostgresqlImportTest.java,322,37,1,0,1,1,0.09090909090909091,75.6923076923077,108.22135122533358,1
SqoopOptions.java,1680,428,4,0,2,1,0.36363636363636365,168.0188383045526,588.8383810797811,1
ClassWriter.java,1332,253,2,0,2,1,0.18181818181818182,168.0188383045526,588.8383810797811,0
